,extractor,reliable_positive_threshold,classifier,detector,balanced_accuracy,accuracy,f1
57,clip-ViT-B-32,6.129032,logistic,knn,0.6207925597772211,0.567,0.4441591784338897
58,clip-ViT-B-32,6.129032,kneighbours,k-means,0.5397123124827754,0.568,0.6571428571428573
59,clip-ViT-B-32,6.129032,kneighbours,knn,0.612380764342214,0.597,0.6005946481665014
60,clip-ViT-B-32,6.129032,qda,k-means,0.5070543907926832,0.555,0.6758922068463219
61,clip-ViT-B-32,6.129032,qda,knn,0.5966019637120492,0.579,0.5760322255790533
62,clip-ViT-B-32,6.129032,naivebayes,k-means,0.44557013051651306,0.506,0.6564673157162726
63,clip-ViT-B-32,6.129032,naivebayes,knn,0.6079445191702556,0.556,0.43654822335025384
64,clip-ViT-B-32,6.307692,logistic,k-means,0.5422687578924853,0.567,0.6505246166263116
65,clip-ViT-B-32,6.307692,logistic,knn,0.6247228632188588,0.568,0.4330708661417323
66,clip-ViT-B-32,6.307692,kneighbours,k-means,0.5194293964485359,0.534,0.6030664395229983
67,clip-ViT-B-32,6.307692,kneighbours,knn,0.6288177005565359,0.609,0.6030456852791878
68,clip-ViT-B-32,6.307692,qda,k-means,0.4556128681960092,0.499,0.62528047868362
69,clip-ViT-B-32,6.307692,qda,knn,0.5936794303836519,0.574,0.5653061224489795
70,clip-ViT-B-32,6.307692,naivebayes,k-means,0.42276367585177144,0.481,0.6347642505277974
71,clip-ViT-B-32,6.307692,naivebayes,knn,0.6029653121413675,0.549,0.4180645161290323
72,clip-ViT-B-32,6.574194,logistic,k-means,0.5219858418582458,0.533,0.5949696444058976
73,clip-ViT-B-32,6.574194,logistic,knn,0.6140980868821238,0.558,0.4214659685863874
74,clip-ViT-B-32,6.574194,kneighbours,k-means,0.4983053008707956,0.503,0.5526552655265526
75,clip-ViT-B-32,6.574194,kneighbours,knn,0.6097585053740884,0.582,0.5524625267665954
76,clip-ViT-B-32,6.574194,qda,k-means,0.4456955876122429,0.495,0.6316557257476294
77,clip-ViT-B-32,6.574194,qda,knn,0.5957278773893406,0.574,0.5599173553719008
78,clip-ViT-B-32,6.574194,naivebayes,k-means,0.445029225333284,0.499,0.6418870621872766
79,clip-ViT-B-32,6.574194,naivebayes,knn,0.6055382109406814,0.552,0.4241645244215938
80,clip-ViT-B-32,7.069421,logistic,k-means,0.5264755605464171,0.504,0.47899159663865554
81,clip-ViT-B-32,7.069421,logistic,knn,0.5995101003245431,0.539,0.37278911564625844
82,clip-ViT-B-32,7.069421,kneighbours,k-means,0.5357347055460263,0.514,0.4926931106471817
83,clip-ViT-B-32,7.069421,kneighbours,knn,0.6119324094755071,0.571,0.4982456140350877
84,clip-ViT-B-32,7.069421,qda,k-means,0.6310162847423605,0.604,0.5796178343949046
85,clip-ViT-B-32,7.069421,qda,knn,0.5927395305025277,0.553,0.479627473806752
86,clip-ViT-B-32,7.069421,naivebayes,k-means,0.5998761882432304,0.545,0.40832249674902465
87,clip-ViT-B-32,7.069421,naivebayes,knn,0.6043309434784934,0.549,0.41199478487614083
88,clip-ViT-B-16,5.386517,logistic,k-means,0.6159017897174541,0.623,0.6707423580786027
89,clip-ViT-B-16,5.386517,logistic,knn,0.6460711362299526,0.612,0.5698447893569846
90,clip-ViT-B-16,5.386517,kneighbours,k-means,0.5573236093800774,0.575,0.6455379482902419
91,clip-ViT-B-16,5.386517,kneighbours,knn,0.5692050133478124,0.6,0.6875
92,clip-ViT-B-16,5.386517,qda,k-means,0.6419063719864588,0.637,0.6629526462395544
93,clip-ViT-B-16,5.386517,qda,knn,0.5923467058257339,0.582,0.5965250965250966
94,clip-ViT-B-16,5.386517,naivebayes,k-means,0.5606657041433748,0.516,0.41262135922330095
95,clip-ViT-B-16,5.386517,naivebayes,knn,0.5972025124325925,0.559,0.49252013808975836
96,clip-ViT-B-16,5.475771,logistic,k-means,0.5356236451661998,0.57,0.6682098765432098
97,clip-ViT-B-16,5.475771,logistic,knn,0.6584111784328969,0.624,0.5831485587583148
98,clip-ViT-B-16,5.475771,kneighbours,k-means,0.48335739641562914,0.521,0.6335118592195869
99,clip-ViT-B-16,5.475771,kneighbours,knn,0.5993147163229965,0.616,0.6799999999999999
100,clip-ViT-B-16,5.475771,qda,k-means,0.5251490060096006,0.555,0.648776637726914
101,clip-ViT-B-16,5.475771,qda,knn,0.5966266437964551,0.585,0.5966958211856171
102,clip-ViT-B-16,5.475771,naivebayes,k-means,0.5229031183286648,0.507,0.5025227043390514
103,clip-ViT-B-16,5.475771,naivebayes,knn,0.5953124293018416,0.556,0.4849187935034802
104,clip-ViT-B-16,5.566116,logistic,k-means,0.6235114824092698,0.647,0.7164658634538152
105,clip-ViT-B-16,5.566116,logistic,knn,0.6515336615784559,0.612,0.5540229885057472
106,clip-ViT-B-16,5.566116,kneighbours,k-means,0.5793382446701301,0.615,0.7063310450038138
107,clip-ViT-B-16,5.566116,kneighbours,knn,0.6236040327257919,0.628,0.670796460176991
108,clip-ViT-B-16,5.566116,qda,k-means,0.5887639802394791,0.624,0.7129770992366413
109,clip-ViT-B-16,5.566116,qda,knn,0.594212108872079,0.579,0.5819265143992056
110,clip-ViT-B-16,5.566116,naivebayes,k-means,0.5076446561447241,0.574,0.7129380053908355
111,clip-ViT-B-16,5.566116,naivebayes,knn,0.6026732644758979,0.561,0.48292108362779745
112,clip-ViT-B-16,5.660284,logistic,k-means,0.5358745593576597,0.548,0.6110154905335629
113,clip-ViT-B-16,5.660284,logistic,knn,0.6513341642295083,0.605,0.5235223160434258
114,clip-ViT-B-16,5.660284,kneighbours,k-means,0.5140923281957624,0.523,0.5812115891132571
115,clip-ViT-B-16,5.660284,kneighbours,knn,0.6260021142605641,0.63,0.6719858156028369
116,clip-ViT-B-16,5.660284,qda,k-means,0.4692691815672676,0.499,0.6014319809069213
117,clip-ViT-B-16,5.660284,qda,knn,0.6000324954444678,0.583,0.5817452357071213
118,clip-ViT-B-16,5.660284,naivebayes,k-means,0.4491590261238694,0.507,0.6535488404778638
119,clip-ViT-B-16,5.660284,naivebayes,knn,0.6033560801444607,0.561,0.48047337278106517
120,clip-ViT-B-16,5.758871,logistic,k-means,0.6472187601548264,0.642,0.6672862453531598
121,clip-ViT-B-16,5.758871,logistic,knn,0.6319417879075813,0.58,0.4696969696969697
122,clip-ViT-B-16,5.758871,kneighbours,k-means,0.5954687365030789,0.594,0.6275229357798164
123,clip-ViT-B-16,5.758871,kneighbours,knn,0.6215144522460934,0.618,0.6469500924214419
124,clip-ViT-B-16,5.758871,qda,k-means,0.4911768698248948,0.513,0.5985160758450123
125,clip-ViT-B-16,5.758871,qda,knn,0.5979675950491751,0.579,0.5725888324873096
126,clip-ViT-B-16,5.758871,naivebayes,k-means,0.49423103027012355,0.55,0.6826516220028209
127,clip-ViT-B-16,5.758871,naivebayes,knn,0.6072946102809005,0.564,0.4809523809523809
128,clip-ViT-B-16,5.865385,logistic,k-means,0.6123396308682043,0.587,0.564805057955743
129,clip-ViT-B-16,5.865385,logistic,knn,0.6272957620181727,0.571,0.4392156862745099
130,clip-ViT-B-16,5.865385,kneighbours,k-means,0.5399138665054235,0.534,0.5578747628083491
131,clip-ViT-B-16,5.865385,kneighbours,knn,0.6179091032491331,0.613,0.6393289841565702
132,clip-ViT-B-16,5.865385,qda,k-means,0.5342600705027745,0.529,0.554399243140965
133,clip-ViT-B-16,5.865385,qda,knn,0.5943622460522149,0.574,0.5635245901639344
134,clip-ViT-B-16,5.865385,naivebayes,k-means,0.5875361460402861,0.533,0.3927178153446034
135,clip-ViT-B-16,5.865385,naivebayes,knn,0.6035144440193986,0.558,0.4648910411622276
136,clip-ViT-B-16,5.987416,logistic,k-means,0.5926305267964016,0.568,0.5452631578947369
137,clip-ViT-B-16,5.987416,logistic,knn,0.6226661895183682,0.566,0.4304461942257217
138,clip-ViT-B-16,5.987416,kneighbours,k-means,0.47688915762758577,0.484,0.5401069518716577
139,clip-ViT-B-16,5.987416,kneighbours,knn,0.6276597932631596,0.618,0.6347992351816444
140,clip-ViT-B-16,5.987416,qda,k-means,0.5825877891169055,0.575,0.5956232159847764
141,clip-ViT-B-16,5.987416,qda,knn,0.5974431432555499,0.576,0.5628865979381443
142,clip-ViT-B-16,5.987416,naivebayes,k-means,0.6040635758974295,0.567,0.5062713797035348
143,clip-ViT-B-16,5.987416,naivebayes,knn,0.6031648094903151,0.556,0.4558823529411764
144,clip-ViT-B-16,6.129032,logistic,k-means,0.5956846872416304,0.605,0.658008658008658
145,clip-ViT-B-16,6.129032,logistic,knn,0.6135654083936968,0.553,0.3934871099050204
146,clip-ViT-B-16,6.129032,kneighbours,k-means,0.49594835281003324,0.511,0.5831202046035806
147,clip-ViT-B-16,6.129032,kneighbours,knn,0.6135962584992041,0.602,0.6143410852713178
148,clip-ViT-B-16,6.129032,qda,k-means,0.5475893727556549,0.574,0.6592
149,clip-ViT-B-16,6.129032,qda,knn,0.5943540193574128,0.572,0.5560165975103736
