extractor,"(5.386517, 'logistic', 'k-means')","(5.386517, 'logistic', 'knn')","(5.386517, 'kneighbours', 'k-means')","(5.386517, 'kneighbours', 'knn')","(5.386517, 'qda', 'k-means')","(5.386517, 'qda', 'knn')","(5.386517, 'naivebayes', 'k-means')","(5.386517, 'naivebayes', 'knn')","(5.475771, 'logistic', 'k-means')","(5.475771, 'logistic', 'knn')","(5.475771, 'kneighbours', 'k-means')","(5.475771, 'kneighbours', 'knn')","(5.475771, 'qda', 'k-means')","(5.475771, 'qda', 'knn')","(5.475771, 'naivebayes', 'k-means')","(5.475771, 'naivebayes', 'knn')","(5.566116, 'logistic', 'k-means')","(5.566116, 'logistic', 'knn')","(5.566116, 'kneighbours', 'k-means')","(5.566116, 'kneighbours', 'knn')","(5.566116, 'qda', 'k-means')","(5.566116, 'qda', 'knn')","(5.566116, 'naivebayes', 'k-means')","(5.566116, 'naivebayes', 'knn')","(5.660284, 'logistic', 'k-means')","(5.660284, 'logistic', 'knn')","(5.660284, 'kneighbours', 'k-means')","(5.660284, 'kneighbours', 'knn')","(5.660284, 'qda', 'k-means')","(5.660284, 'qda', 'knn')","(5.660284, 'naivebayes', 'k-means')","(5.660284, 'naivebayes', 'knn')","(5.758871, 'logistic', 'k-means')","(5.758871, 'logistic', 'knn')","(5.758871, 'kneighbours', 'k-means')","(5.758871, 'kneighbours', 'knn')","(5.758871, 'qda', 'k-means')","(5.758871, 'qda', 'knn')","(5.758871, 'naivebayes', 'k-means')","(5.758871, 'naivebayes', 'knn')","(5.865385, 'logistic', 'k-means')","(5.865385, 'logistic', 'knn')","(5.865385, 'kneighbours', 'k-means')","(5.865385, 'kneighbours', 'knn')","(5.865385, 'qda', 'k-means')","(5.865385, 'qda', 'knn')","(5.865385, 'naivebayes', 'k-means')","(5.865385, 'naivebayes', 'knn')","(5.987416, 'logistic', 'k-means')","(5.987416, 'logistic', 'knn')","(5.987416, 'kneighbours', 'k-means')","(5.987416, 'kneighbours', 'knn')","(5.987416, 'qda', 'k-means')","(5.987416, 'qda', 'knn')","(5.987416, 'naivebayes', 'k-means')","(5.987416, 'naivebayes', 'knn')","(6.129032, 'logistic', 'k-means')","(6.129032, 'logistic', 'knn')","(6.129032, 'kneighbours', 'k-means')","(6.129032, 'kneighbours', 'knn')","(6.129032, 'qda', 'k-means')","(6.129032, 'qda', 'knn')","(6.129032, 'naivebayes', 'k-means')","(6.129032, 'naivebayes', 'knn')","(6.307692, 'logistic', 'k-means')","(6.307692, 'logistic', 'knn')","(6.307692, 'kneighbours', 'k-means')","(6.307692, 'kneighbours', 'knn')","(6.307692, 'qda', 'k-means')","(6.307692, 'qda', 'knn')","(6.307692, 'naivebayes', 'k-means')","(6.307692, 'naivebayes', 'knn')","(6.574194, 'logistic', 'k-means')","(6.574194, 'logistic', 'knn')","(6.574194, 'kneighbours', 'k-means')","(6.574194, 'kneighbours', 'knn')","(6.574194, 'qda', 'k-means')","(6.574194, 'qda', 'knn')","(6.574194, 'naivebayes', 'k-means')","(6.574194, 'naivebayes', 'knn')","(7.069421, 'logistic', 'k-means')","(7.069421, 'logistic', 'knn')","(7.069421, 'kneighbours', 'k-means')","(7.069421, 'kneighbours', 'knn')","(7.069421, 'qda', 'k-means')","(7.069421, 'qda', 'knn')","(7.069421, 'naivebayes', 'k-means')","(7.069421, 'naivebayes', 'knn')"
clip-ViT-B-16,0.5684369400935216,0.613946329006387,0.5187973290002816,0.5328847231816578,0.5291332777205344,0.5504287340698295,0.513136304574321,0.5803711325327614,0.5215064693768832,0.6357832848843051,0.4860852809481593,0.5544338701040121,0.5185473336463119,0.5534773484876453,0.5265556696359255,0.5846200636263832,0.5993673235478593,0.6693785824930227,0.5503755687326787,0.5879481187440327,0.5615457811439668,0.5602618377861475,0.5505613810738306,0.5939282525310043,0.5600092283999236,0.6866652280766516,0.5249350152699155,0.603297263549831,0.4861567994551221,0.5698954024654017,0.480292758686634,0.5977069232265226,0.5614924658747914,0.6862419653150869,0.5192849815132323,0.5949426665339418,0.4811003726587476,0.5724827514753321,0.5152068313768607,0.60706746355159,0.5993248378408792,0.6913490300230554,0.5236044123210539,0.599811130721806,0.4958470412334188,0.5735032614722612,0.532251918775106,0.6066802738763778,0.6089379530957422,0.6970725155716886,0.5369795148414992,0.5981306246091035,0.5706100157445761,0.5733486657236234,0.5785474143302287,0.6089025011563485,0.6040674969538375,0.6998721022092832,0.5497471319111897,0.5963735209256997,0.5649820182704819,0.5722673066060993,0.5710832291516847,0.6095994718131315,0.5902017134797968,0.7050143683491015,0.5031554218945806,0.6042536231278608,0.4859246720872079,0.5709170625620223,0.5003234294520784,0.6126112970096451,0.5743602095992337,0.6911331158013979,0.5139868130742766,0.5917597139533883,0.4635598148634146,0.5631276859972977,0.5593891309652659,0.6022325170868774,0.5528378921279797,0.681895670599737,0.5043230897079733,0.574423701620982,0.5017965246308014,0.5506202652467747,0.4648526703297736,0.5872533784425217
clip-ViT-B-32,0.5489177321640314,0.6119221153680999,0.5095809878951439,0.5362015995165581,0.5302949389403973,0.5469603435084606,0.4943028391623595,0.5933530089843106,0.5627771961429258,0.6324352524884534,0.5386385173493646,0.5519475194033365,0.537804968862024,0.5493547830843255,0.5447610176467981,0.593408721303369,0.5660528942526004,0.6641939861657776,0.521586051619253,0.5960047291205305,0.5441629639447677,0.5612380275041191,0.595509311804967,0.601274227017625,0.556391066921092,0.6789622542645315,0.5038580899682963,0.6032497052978962,0.5175731656825345,0.5707952749203704,0.5559847017780698,0.6131303616786201,0.560921208098688,0.6829560885903299,0.5179270210917928,0.6052550880326534,0.5006573345895241,0.572337151648167,0.5747348515471247,0.6140479112124082,0.5809467476501247,0.6896467372040532,0.5239795543527783,0.5982134783496238,0.5315904931831981,0.5720151060407375,0.487204889494529,0.6154154281707165,0.5728437924467107,0.6923998551578417,0.5079167554602608,0.6109796622181605,0.4870729791130833,0.5725696822494143,0.4661279641929098,0.6167346400107319,0.5961666007630053,0.7001446283421464,0.5566615033181596,0.6017624494585199,0.5457354929246631,0.5723390802768802,0.5265109731300244,0.6139405608140887,0.5868891004294206,0.694643775087376,0.5244830866227634,0.6049239515157604,0.4929402289856495,0.5701970601112576,0.4708579256465224,0.6147988499479888,0.5778081833301298,0.6922731756346685,0.5340028305452725,0.6066864061893071,0.4852173076954811,0.5683248263268447,0.4678313773114494,0.5987070415368589,0.5413867182777519,0.6732580903907135,0.5031473926156016,0.5836335993740835,0.5511743171589931,0.5544497321672052,0.5665477956529986,0.5803132326961523
clip-ViT-L-14,0.5409089296157576,0.6242676523698354,0.5041499163571141,0.5309837005860226,0.488167603024133,0.5738724602357828,0.4893743956458935,0.5733408217643517,0.5822778534765841,0.6442574931993534,0.5212330091954447,0.5802615480541506,0.5709852853582095,0.5769524169655122,0.5617579563775587,0.5764609602766593,0.5790449493192321,0.6796231527662167,0.5527459493405056,0.5818702181019999,0.5492505104831559,0.5831591418105476,0.5372721793596468,0.5851327464061395,0.5727014929865952,0.6899252093988837,0.5067524206078361,0.5901439524001545,0.5274738729105906,0.5938209356578581,0.5230441684955983,0.5954778484299281,0.5889946433441027,0.6973729616550356,0.5251787190663832,0.5936124984810769,0.5416922955751067,0.5972145026889405,0.5305217711934569,0.6022538716909448,0.6003527559698285,0.7038056191609834,0.5148578957867682,0.5935078263715934,0.5142180687876878,0.5945479411448003,0.49843669975528,0.6018760821017932,0.6105555240770735,0.7085926302155628,0.5558421499479006,0.5932334945356519,0.4684894094108267,0.5953783112594715,0.5262728698999891,0.6024022103385085,0.5564422021227551,0.7049271274671673,0.5006485277127779,0.6050703624658658,0.478756638976078,0.5949852705102828,0.4876577829216651,0.6030566962195663,0.6247419208886448,0.7049105371627122,0.5514957378944445,0.6153764644694311,0.4867841476397371,0.5926256896644972,0.5080199925060808,0.6040634180577661,0.6149574323984719,0.6910922495465339,0.565590845659419,0.5977029393184419,0.5286906876966253,0.5831470299104778,0.5759134718483477,0.5934539123055746,0.541803008734548,0.6729388143350914,0.5533461514473847,0.5807513154467768,0.4941098300840294,0.5703429337273371,0.5330772470762315,0.5819654193500572
