classifier,aul_ava_ava,aul_ava_aadb,aul_aadb_ava,aul_aadb_aadb
logistic,0.5302745663540922,0.5174193825042882,0.5244592631975487,0.5504322469982847
kneighbours-5,0.5213273985927391,0.5194596912521441,0.5069455860441753,0.5349802744425386
kneighbours-9,0.522277662703301,0.5202512864493997,0.5063287103186052,0.5184768439108062
kneighbours-19,0.521166010528883,0.5136783876500858,0.505187234963525,0.5187684391080617
naivebayes,0.5087559143982745,0.5067324185248714,0.5203297929502815,0.5035763293310463
rf,0.5292754676626661,0.5395257289879931,0.5018648484006378,0.5299416809605488
svm,0.5331555066653386,0.5215025728987993,0.52883129126434,0.5544982847341338
