classifier,balanced_accuracy_ava_ava,balanced_accuracy_ava_aadb,balanced_accuracy_aadb_ava,balanced_accuracy_aadb_aadb
logistic,0.604423330348314,0.541773099530667,0.5843651298281516,0.6209406402836564
kneighbours-5,0.5735626718041735,0.5466659262641345,0.5239567833101437,0.5838855502219151
kneighbours-9,0.5768403320677344,0.5485642360896874,0.5218290495245741,0.5443089782033721
kneighbours-19,0.5730060105159752,0.5328018888491265,0.5178918615664095,0.545008247261539
naivebayes,0.5302009855737865,0.5161448885488522,0.5701217206658059,0.5085763293310464
rf,0.6009772293708425,0.5947859208345159,0.50643225334136,0.5718025922315321
svm,0.6143602978449396,0.5515649230187034,0.5994451717937714,0.630691330297683
