classifier,accuracy_ava_ava,accuracy_ava_aadb,accuracy_aadb_ava,accuracy_aadb_aadb
logistic,0.4635884783332354,0.488,0.7352797195950577,0.603
kneighbours-5,0.5651961072274766,0.557,0.7114100530654605,0.6
kneighbours-9,0.5722062307857996,0.562,0.7096085687990757,0.565
kneighbours-19,0.5725782764495095,0.548,0.7112534022596879,0.569
naivebayes,0.3366425816052791,0.441,0.4002036460475043,0.427
rf,0.5257788482249506,0.594,0.7122324697957665,0.609
svm,0.4808788110203842,0.503,0.7313830308014647,0.608
