classifier,f1_ava_ava,f1_ava_aadb,f1_aadb_ava,f1_aadb_aadb
logistic,0.41615515771526,0.3315926892950391,0.8350355700357531,0.6010050251256281
kneighbours-5,0.6439166760211036,0.6157849089332177,0.8268073704992008,0.6649916247906199
kneighbours-9,0.6525770080943976,0.6262798634812287,0.8257139499353626,0.6419753086419752
kneighbours-19,0.6552312357846853,0.6169491525423729,0.8279025255590308,0.6510121457489878
naivebayes,0.1295511189907243,0.1169036334913112,0.2817885530727567,0.0337268128161888
rf,0.5582591565737633,0.6288848263254113,0.8309833237492813,0.7035633055344958
svm,0.4479980011243676,0.3779724655819775,0.8284563825530212,0.5950413223140497
