ඞcollection_urlඞname_and_countryඞcollection_nameඞplaceඞmain_categoryඞsecondary_categoryඞyear
0ඞhttps://photoawards.com/winner/zoomOLD.php?eid=42752&comp=7&mc=75373&type=subcat&sub=Annual Reports&cat=Advertising&level=pro\ඞDean AlexanderඞIBM - 2006 Global CEO Studyඞ1st Place, Annual ReportsඞAdvertisingඞ Annual Reportsඞ2007
1ඞhttps://photoawards.com/winner/zoomOLD.php?eid=36301&comp=7&mc=64755&type=subcat&sub=Annual Reports&cat=Advertising&level=pro\ඞJohn  RaeඞBuilding the Supertankerඞ2nd Place, Annual ReportsඞAdvertisingඞ Annual Reportsඞ2007
2ඞhttps://photoawards.com/winner/zoomOLD.php?eid=35455&comp=7&mc=63503&type=subcat&sub=Annual Reports&cat=Advertising&level=pro\ඞpeter masonඞEast Thames Housing 1ඞ3rd Place, Annual ReportsඞAdvertisingඞ Annual Reportsඞ2007
3ඞhttps://photoawards.com/winner/zoomOLD.php?eid=39878&comp=7&mc=70677&type=subcat&sub=Automotive&cat=Advertising&level=pro\ඞFulvio BonaviaඞBMWඞ1st Place, AutomotiveඞAdvertisingඞ Automotiveඞ2007
4ඞhttps://photoawards.com/winner/zoomOLD.php?eid=39881&comp=7&mc=70682&type=subcat&sub=Automotive&cat=Advertising&level=pro\ඞFulvio BonaviaඞLancia Calendarඞ2nd Place, AutomotiveඞAdvertisingඞ Automotiveඞ2007
5ඞhttps://photoawards.com/winner/zoomOLD.php?eid=35926&comp=7&mc=64238&type=subcat&sub=Automotive&cat=Advertising&level=pro\ඞKevin Ouඞ"Zymol ""Irresistable"" Campaign"ඞ3rd Place, AutomotiveඞAdvertisingඞ Automotiveඞ2007
6ඞhttps://photoawards.com/winner/zoomOLD.php?eid=35493&comp=7&mc=63568&type=subcat&sub=Beauty&cat=Advertising&level=pro\ඞGustavo MarxඞBrunaඞ1st Place, BeautyඞAdvertisingඞ Beautyඞ2007
7ඞhttps://photoawards.com/winner/zoomOLD.php?eid=37103&comp=7&mc=65952&type=subcat&sub=Beauty&cat=Advertising&level=pro\ඞAugust BradleyඞBreezeඞ2nd Place, BeautyඞAdvertisingඞ Beautyඞ2007
8ඞhttps://photoawards.com/winner/zoomOLD.php?eid=37114&comp=7&mc=65975&type=subcat&sub=Beauty&cat=Advertising&level=pro\ඞAugust BradleyඞWar Paintඞ3rd Place, BeautyඞAdvertisingඞ Beautyඞ2007
9ඞhttps://photoawards.com/winner/zoomOLD.php?eid=42841&comp=7&mc=75486&type=subcat&sub=Book Cover&cat=Advertising&level=pro\ඞChris Frazer-SmithඞCharlotte Grayඞ1st Place, Book CoverඞAdvertisingඞ Book Coverඞ2007
10ඞhttps://photoawards.com/winner/zoomOLD.php?eid=31062&comp=7&mc=54279&type=subcat&sub=Book Cover&cat=Advertising&level=pro\ඞJoel Micah MillerඞThe Blueඞ2nd Place, Book CoverඞAdvertisingඞ Book Coverඞ2007
11ඞhttps://photoawards.com/winner/zoomOLD.php?eid=42873&comp=7&mc=75525&type=subcat&sub=Book Cover&cat=Advertising&level=pro\ඞChris Frazer-SmithඞChesil Beachඞ3rd Place, Book CoverඞAdvertisingඞ Book Coverඞ2007
12ඞhttps://photoawards.com/winner/zoomOLD.php?eid=40294&comp=7&mc=71379&type=subcat&sub=Calendars&cat=Advertising&level=pro\ඞketrick chinඞEndanger speciesඞ1st Place, CalendarsඞAdvertisingඞ Calendarsඞ2007
13ඞhttps://photoawards.com/winner/zoomOLD.php?eid=39819&comp=7&mc=70591&type=subcat&sub=Calendars&cat=Advertising&level=pro\ඞJatin Kampaniඞmarriott calendarඞ2nd Place, CalendarsඞAdvertisingඞ Calendarsඞ2007
14ඞhttps://photoawards.com/winner/zoomOLD.php?eid=42473&comp=7&mc=74935&type=subcat&sub=Calendars&cat=Advertising&level=pro\ඞSteve HoneඞHone 2007 Calendarඞ3rd Place, CalendarsඞAdvertisingඞ Calendarsඞ2007
15ඞhttps://photoawards.com/winner/zoomOLD.php?eid=42877&comp=7&mc=75531&type=subcat&sub=Catalogues&cat=Advertising&level=pro\ඞChris Frazer-SmithඞKBC Peel Huntඞ1st Place, CataloguesඞAdvertisingඞ Cataloguesඞ2007
16ඞhttps://photoawards.com/winner/zoomOLD.php?eid=41166&comp=7&mc=72767&type=subcat&sub=Catalogues&cat=Advertising&level=pro\ඞmurat germenඞistanbul modern seriesඞ2nd Place, CataloguesඞAdvertisingඞ Cataloguesඞ2007
17ඞhttps://photoawards.com/winner/zoomOLD.php?eid=42835&comp=7&mc=75473&type=subcat&sub=Catalogues&cat=Advertising&level=pro\ඞPier Nicola D'AmicoඞVing Rhames for Stacy Adams Spring Collectionඞ3rd Place, CataloguesඞAdvertisingඞ Cataloguesඞ2007
18ඞhttps://photoawards.com/winner/zoomOLD.php?eid=37375&comp=7&mc=66430&type=subcat&sub=Fashion&cat=Advertising&level=pro\ඞGustavo MarxඞEssencialeඞ1st Place, FashionඞAdvertisingඞ Fashionඞ2007
19ඞhttps://photoawards.com/winner/zoomOLD.php?eid=42391&comp=7&mc=74786&type=subcat&sub=Fashion&cat=Advertising&level=pro\ඞChris TurnerඞDiamonds Are Foreverඞ2nd Place, FashionඞAdvertisingඞ Fashionඞ2007
20ඞhttps://photoawards.com/winner/zoomOLD.php?eid=39340&comp=7&mc=69670&type=subcat&sub=Fashion&cat=Advertising&level=pro\ඞWill ShenඞMichael Thompson - Keep A Child Aliveඞ3rd Place, FashionඞAdvertisingඞ Fashionඞ2007
21ඞhttps://photoawards.com/winner/zoomOLD.php?eid=42414&comp=7&mc=74819&type=subcat&sub=Food&cat=Advertising&level=pro\ඞChris TurnerඞFruitsඞ1st Place, FoodඞAdvertisingඞ Foodඞ2007
22ඞhttps://photoawards.com/winner/zoomOLD.php?eid=42521&comp=7&mc=75044&type=subcat&sub=Food&cat=Advertising&level=pro\ඞSteve Honeඞinsignia Campbell Chef Seriesඞ2nd Place, FoodඞAdvertisingඞ Foodඞ2007
23ඞhttps://photoawards.com/winner/zoomOLD.php?eid=37305&comp=7&mc=66303&type=subcat&sub=Food&cat=Advertising&level=pro\ඞDavide CeratiඞMEDITERRANEOඞ3rd Place, FoodඞAdvertisingඞ Foodඞ2007
