ඞcollection_urlඞname_and_countryඞcollection_nameඞplaceඞmain_categoryඞsecondary_categoryඞyear
0ඞhttps://photoawards.com/winner/zoomOLD.php?eid=16228&comp=5&mc=27786&type=subcat&sub=Annual Reports&cat=Advertising&level=pro\ඞGarry Hunterඞ"""First Light"" Annual Report"ඞ1st Place, Annual ReportsඞAdvertisingඞ Annual Reportsඞ2005
1ඞhttps://photoawards.com/winner/zoomOLD.php?eid=15736&comp=5&mc=27061&type=subcat&sub=Annual Reports&cat=Advertising&level=pro\ඞMarcelo CoelhoඞOlivia and Sisters 321ඞ2nd Place, Annual ReportsඞAdvertisingඞ Annual Reportsඞ2005
2ඞhttps://photoawards.com/winner/zoomOLD.php?eid=15431&comp=5&mc=26630&type=subcat&sub=Annual Reports&cat=Advertising&level=pro\ඞTom HasslerඞIron Worker's Seriesඞ3rd Place, Annual ReportsඞAdvertisingඞ Annual Reportsඞ2005
3ඞhttps://photoawards.com/winner/zoomOLD.php?eid=17060&comp=5&mc=28850&type=subcat&sub=Automotive&cat=Advertising&level=pro\ඞglen wexlerඞSuzukiඞ1st Place, AutomotiveඞAdvertisingඞ Automotiveඞ2005
4ඞhttps://photoawards.com/winner/zoomOLD.php?eid=10404&comp=5&mc=17876&type=subcat&sub=Automotive&cat=Advertising&level=pro\ඞMartijn OortඞUNTITLEDඞ2nd Place, AutomotiveඞAdvertisingඞ Automotiveඞ2005
5ඞhttps://photoawards.com/winner/zoomOLD.php?eid=8568&comp=5&mc=14847&type=subcat&sub=Automotive&cat=Advertising&level=pro\ඞDEREK GARDNERඞBEAUTY IS IN THE EYE OF THE BEHOLDER.ඞ3rd Place, AutomotiveඞAdvertisingඞ Automotiveඞ2005
6ඞhttps://photoawards.com/winner/zoomOLD.php?eid=13476&comp=5&mc=23273&type=subcat&sub=Beauty&cat=Advertising&level=pro\ඞLuca Babiniඞsharon Stoneඞ1st Place, BeautyඞAdvertisingඞ Beautyඞ2005
7ඞhttps://photoawards.com/winner/zoomOLD.php?eid=10734&comp=5&mc=18525&type=subcat&sub=Beauty&cat=Advertising&level=pro\ඞChris Frazer-SmithඞPeroniඞ2nd Place, BeautyඞAdvertisingඞ Beautyඞ2005
8ඞhttps://photoawards.com/winner/zoomOLD.php?eid=13793&comp=5&mc=23902&type=subcat&sub=Beauty&cat=Advertising&level=pro\ඞMichele Duganඞ"Reflections upon Kahil Gibran's, ""The Prophet"""ඞ3rd Place, BeautyඞAdvertisingඞ Beautyඞ2005
9ඞhttps://photoawards.com/winner/zoomOLD.php?eid=14499&comp=5&mc=25019&type=subcat&sub=Book Cover&cat=Advertising&level=pro\ඞChad RessඞRed Shroudඞ1st Place, Book CoverඞAdvertisingඞ Book Coverඞ2005
10ඞhttps://photoawards.com/winner/zoomOLD.php?eid=17062&comp=5&mc=28852&type=subcat&sub=Book Cover&cat=Advertising&level=pro\ඞglen wexlerඞBlack Sundayඞ2nd Place, Book CoverඞAdvertisingඞ Book Coverඞ2005
11ඞhttps://photoawards.com/winner/zoomOLD.php?eid=15737&comp=5&mc=27085&type=subcat&sub=Book Cover&cat=Advertising&level=pro\ඞTimothy GriffithඞWallඞ3rd Place, Book CoverඞAdvertisingඞ Book Coverඞ2005
12ඞhttps://photoawards.com/winner/zoomOLD.php?eid=17063&comp=5&mc=28853&type=subcat&sub=Calendars&cat=Advertising&level=pro\ඞglen wexlerඞSecret Agent Cowsඞ1st Place, CalendarsඞAdvertisingඞ Calendarsඞ2005
13ඞhttps://photoawards.com/winner/zoomOLD.php?eid=7554&comp=5&mc=12965&type=subcat&sub=Calendars&cat=Advertising&level=pro\ඞH. Steininger and M. Nagel ඞchallengeඞ2nd Place, CalendarsඞAdvertisingඞ Calendarsඞ2005
14ඞhttps://photoawards.com/winner/zoomOLD.php?eid=10820&comp=5&mc=18711&type=subcat&sub=Calendars&cat=Advertising&level=pro\ඞreinhard faschingඞVorarlberg Calendar 2005ඞ3rd Place, CalendarsඞAdvertisingඞ Calendarsඞ2005
15ඞhttps://photoawards.com/winner/zoomOLD.php?eid=14332&comp=5&mc=26486&type=subcat&sub=Catalogues&cat=Advertising&level=pro\ඞJohn HuetඞI AM WHAT I AMඞ1st Place, CataloguesඞAdvertisingඞ Cataloguesඞ2005
16ඞhttps://photoawards.com/winner/zoomOLD.php?eid=14717&comp=5&mc=26465&type=subcat&sub=Catalogues&cat=Advertising&level=pro\ඞJohn Huetඞfaces of the u.s.m.c.ඞ2nd Place, CataloguesඞAdvertisingඞ Cataloguesඞ2005
17ඞhttps://photoawards.com/winner/zoomOLD.php?eid=14670&comp=5&mc=26467&type=subcat&sub=Catalogues&cat=Advertising&level=pro\ඞJohn HuetඞTHE ART OF SPORTඞ3rd Place, CataloguesඞAdvertisingඞ Cataloguesඞ2005
18ඞhttps://photoawards.com/winner/zoomOLD.php?eid=12805&comp=5&mc=22158&type=subcat&sub=Fashion&cat=Advertising&level=pro\ඞNadav KanderඞChampionඞ1st Place, FashionඞAdvertisingඞ Fashionඞ2005
19ඞhttps://photoawards.com/winner/zoomOLD.php?eid=10423&comp=5&mc=17902&type=subcat&sub=Fashion&cat=Advertising&level=pro\ඞlucio gelsiඞbeachඞ2nd Place, FashionඞAdvertisingඞ Fashionඞ2005
20ඞhttps://photoawards.com/winner/zoomOLD.php?eid=14708&comp=5&mc=25399&type=subcat&sub=Fashion&cat=Advertising&level=pro\ඞAlan LimඞLarger Than Liveඞ3rd Place, FashionඞAdvertisingඞ Fashionඞ2005
21ඞhttps://photoawards.com/winner/zoomOLD.php?eid=16446&comp=5&mc=28038&type=subcat&sub=Food&cat=Advertising&level=pro\ඞPhilip ShippertඞFood Fashion Experienceඞ1st Place, FoodඞAdvertisingඞ Foodඞ2005
22ඞhttps://photoawards.com/winner/zoomOLD.php?eid=14523&comp=5&mc=25073&type=subcat&sub=Food&cat=Advertising&level=pro\ඞChad RessඞGLAD_PNSඞ2nd Place, FoodඞAdvertisingඞ Foodඞ2005
23ඞhttps://photoawards.com/winner/zoomOLD.php?eid=10077&comp=5&mc=17385&type=subcat&sub=Food&cat=Advertising&level=pro\ඞshimon & tammar rothsteinඞIt's about timeඞ3rd Place, FoodඞAdvertisingඞ Foodඞ2005
24ඞhttps://photoawards.com/winner/zoomOLD.php?eid=16895&comp=5&mc=29444&type=subcat&sub=Music&cat=Advertising&level=pro\ඞLars TopelmannඞCort Guitarඞ1st Place, MusicඞAdvertisingඞ Musicඞ2005
25ඞhttps://photoawards.com/winner/zoomOLD.php?eid=12813&comp=5&mc=22170&type=subcat&sub=Music&cat=Advertising&level=pro\ඞNadav KanderඞPlaceboඞ2nd Place, MusicඞAdvertisingඞ Musicඞ2005
26ඞhttps://photoawards.com/winner/zoomOLD.php?eid=17023&comp=5&mc=28809&type=subcat&sub=Music&cat=Advertising&level=pro\ඞPaul ElledgeඞAl Jourgensen Hell Pasoඞ3rd Place, MusicඞAdvertisingඞ Musicඞ2005
27ඞhttps://photoawards.com/winner/zoomOLD.php?eid=14378&comp=5&mc=26473&type=subcat&sub=Other&cat=Advertising&level=pro\ඞJohn HuetඞBUKATSU BASEBALLඞ1st Place, OtherඞAdvertisingඞ Otherඞ2005
28ඞhttps://photoawards.com/winner/zoomOLD.php?eid=10574&comp=5&mc=18227&type=subcat&sub=Other&cat=Advertising&level=pro\ඞStuart HallඞUNTITLEDඞ2nd Place, OtherඞAdvertisingඞ Otherඞ2005
29ඞhttps://photoawards.com/winner/zoomOLD.php?eid=9407&comp=5&mc=16300&type=subcat&sub=Other&cat=Advertising&level=pro\ඞJim FiscusඞUsherඞ3rd Place, OtherඞAdvertisingඞ Otherඞ2005
30ඞhttps://photoawards.com/winner/zoomOLD.php?eid=9398&comp=5&mc=16289&type=subcat&sub=Product&cat=Advertising&level=pro\ඞJim FiscusඞJay-Zඞ1st Place, ProductඞAdvertisingඞ Productඞ2005
31ඞhttps://photoawards.com/winner/zoomOLD.php?eid=12685&comp=5&mc=22015&type=subcat&sub=Product&cat=Advertising&level=pro\ඞRoxanne LowitඞCosmopolitianඞ2nd Place, ProductඞAdvertisingඞ Productඞ2005
32ඞhttps://photoawards.com/winner/zoomOLD.php?eid=12767&comp=5&mc=22122&type=subcat&sub=Product&cat=Advertising&level=pro\ඞFulvio BonaviaඞPerlaඞ3rd Place, ProductඞAdvertisingඞ Productඞ2005
33ඞhttps://photoawards.com/winner/zoomOLD.php?eid=10061&comp=5&mc=17359&type=subcat&sub=Self-promotion&cat=Advertising&level=pro\ඞEdo KarsඞDiversඞ1st Place, Self-promotionඞAdvertisingඞ Self-promotionඞ2005
34ඞhttps://photoawards.com/winner/zoomOLD.php?eid=15845&comp=5&mc=27230&type=subcat&sub=Self-promotion&cat=Advertising&level=pro\ඞclaudia goetzelmannඞDouble Life of My Bagඞ2nd Place, Self-promotionඞAdvertisingඞ Self-promotionඞ2005
35ඞhttps://photoawards.com/winner/zoomOLD.php?eid=14505&comp=5&mc=25033&type=subcat&sub=Self-promotion&cat=Advertising&level=pro\ඞnancy newberryඞUNTITLEDඞ3rd Place, Self-promotionඞAdvertisingඞ Self-promotionඞ2005
36ඞhttps://photoawards.com/winner/zoomOLD.php?eid=11072&comp=5&mc=19116&type=subcat&sub=Bridges&cat=Architecture&level=pro\ඞAndy Taylor SmithඞHighwaysඞ1st Place, BridgesඞArchitectureඞ Bridgesඞ2005
37ඞhttps://photoawards.com/winner/zoomOLD.php?eid=12575&comp=5&mc=21836&type=subcat&sub=Bridges&cat=Architecture&level=pro\ඞTimothy GriffithඞTUBEඞ2nd Place, BridgesඞArchitectureඞ Bridgesඞ2005
