ඞcollection_urlඞname_and_countryඞcollection_nameඞplaceඞmain_categoryඞsecondary_categoryඞyearඞphoto_url
11ඞhttps://photoawards.com/winner/zoom.php?eid=8-7343-09ඞEmily  Sandor, United StatesඞZen Flowersඞ3rd PlaceඞAdvertisingඞ Book Coverඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-7343-09_IPA_Zen Flowers cover.jpg
12ඞhttps://photoawards.com/winner/zoom.php?eid=8-9186-09ඞTalisman Brolin, United StatesඞTWC 2009 Employee Calendarඞ1st PlaceඞAdvertisingඞ Calendarඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-9186-09_IPA_TalismanBrolin_1.jpg
12ඞhttps://photoawards.com/winner/zoom.php?eid=8-9186-09ඞTalisman Brolin, United StatesඞTWC 2009 Employee Calendarඞ1st PlaceඞAdvertisingඞ Calendarඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-9186-09_IPA_TalismanBrolin_2.jpg
12ඞhttps://photoawards.com/winner/zoom.php?eid=8-9186-09ඞTalisman Brolin, United StatesඞTWC 2009 Employee Calendarඞ1st PlaceඞAdvertisingඞ Calendarඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-9186-09_IPA_TalismanBrolin_3.jpg
12ඞhttps://photoawards.com/winner/zoom.php?eid=8-9186-09ඞTalisman Brolin, United StatesඞTWC 2009 Employee Calendarඞ1st PlaceඞAdvertisingඞ Calendarඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-9186-09_IPA_TalismanBrolin_4.jpg
13ඞhttps://photoawards.com/winner/zoom.php?eid=8-8889-09ඞThomas Shea, United StatesඞPearland Firefightersඞ2nd PlaceඞAdvertisingඞ Calendarඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-8889-09_IPA_firefighters001.JPG
13ඞhttps://photoawards.com/winner/zoom.php?eid=8-8889-09ඞThomas Shea, United StatesඞPearland Firefightersඞ2nd PlaceඞAdvertisingඞ Calendarඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-8889-09_IPA_firefighters005.JPG
13ඞhttps://photoawards.com/winner/zoom.php?eid=8-8889-09ඞThomas Shea, United StatesඞPearland Firefightersඞ2nd PlaceඞAdvertisingඞ Calendarඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-8889-09_IPA_firefighters002.JPG
13ඞhttps://photoawards.com/winner/zoom.php?eid=8-8889-09ඞThomas Shea, United StatesඞPearland Firefightersඞ2nd PlaceඞAdvertisingඞ Calendarඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-8889-09_IPA_firefighters004.JPG
13ඞhttps://photoawards.com/winner/zoom.php?eid=8-8889-09ඞThomas Shea, United StatesඞPearland Firefightersඞ2nd PlaceඞAdvertisingඞ Calendarඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-8889-09_IPA_firefighters003.JPG
14ඞhttps://photoawards.com/winner/zoom.php?eid=8-1271-09ඞOlivia Photo Factory, ItalyඞBasket Cantu Calendar 09ඞ3rd PlaceඞAdvertisingඞ Calendarඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-1271-09_IPA_OPFcal01.jpg
