ඞcollection_urlඞname_and_countryඞcollection_nameඞplaceඞmain_categoryඞsecondary_categoryඞyearඞphoto_url
7ඞhttps://photoawards.com/winner/zoom.php?eid=8-14737-10ඞSAZELI  JALAL, Singaporeඞpaper gangstaඞ2nd PlaceඞAdvertisingඞ Beautyඞ2010ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-14737-10_IPA_papergangsta1bysazelijalal.jpg
7ඞhttps://photoawards.com/winner/zoom.php?eid=8-14737-10ඞSAZELI  JALAL, Singaporeඞpaper gangstaඞ2nd PlaceඞAdvertisingඞ Beautyඞ2010ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-14737-10_IPA_papergangsta2bysazelijalal.jpg
7ඞhttps://photoawards.com/winner/zoom.php?eid=8-14737-10ඞSAZELI  JALAL, Singaporeඞpaper gangstaඞ2nd PlaceඞAdvertisingඞ Beautyඞ2010ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-14737-10_IPA_papergangsta3bysazelijalal.jpg
8ඞhttps://photoawards.com/winner/zoom.php?eid=8-15182-10ඞZena Holloway, United KingdomඞRadoxඞ3rd PlaceඞAdvertisingඞ Beautyඞ2010ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-15182-10_IPA_radox_bluesnake.jpg
8ඞhttps://photoawards.com/winner/zoom.php?eid=8-15182-10ඞZena Holloway, United KingdomඞRadoxඞ3rd PlaceඞAdvertisingඞ Beautyඞ2010ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-15182-10_IPA_radox_orangesnake.jpg
9ඞhttps://photoawards.com/winner/zoom.php?eid=8-26345-10ඞChris Frazer-Smith, United KingdomඞA  Week In Decemberඞ1st PlaceඞAdvertisingඞ Book Coverඞ2010ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-26345-10_IPA_A_Week_In_December.jpg
10ඞhttps://photoawards.com/winner/zoom.php?eid=8-19133-10ඞMarije van der Leeuw, NetherlandsඞCrumbsඞ2nd PlaceඞAdvertisingඞ Book Coverඞ2010ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-19133-10_IPA_2023.jpg
11ඞhttps://photoawards.com/winner/zoom.php?eid=8-14387-10ඞEdward Olive, SpainඞLucia Tilde Ingrosso - Io so tutto di leiඞ3rd PlaceඞAdvertisingඞ Book Coverඞ2010ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-14387-10_IPA_3505053624_8f5ecbefb2_o.jpg
12ඞhttps://photoawards.com/winner/zoom.php?eid=8-13414-10ඞfilippo mutani, ItalyඞCampari 2010 calendar -backstageඞ1st PlaceඞAdvertisingඞ Calendarඞ2010ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-13414-10_IPA_1c.jpg
12ඞhttps://photoawards.com/winner/zoom.php?eid=8-13414-10ඞfilippo mutani, ItalyඞCampari 2010 calendar -backstageඞ1st PlaceඞAdvertisingඞ Calendarඞ2010ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-13414-10_IPA_2c.jpg
