ඞcollection_urlඞname_and_countryඞcollection_nameඞplaceඞmain_categoryඞsecondary_categoryඞyear
0ඞhttps://photoawards.com/winner/zoom.php?eid=8-46026-12ඞDirk Krüll, GermanyඞTimeless Beautiesඞ1st PlaceඞAdvertisingඞ Automotiveඞ2012
1ඞhttps://photoawards.com/winner/zoom.php?eid=8-45588-12ඞSteffen Schraegle, SpainඞLR4 DUBAIඞ2nd PlaceඞAdvertisingඞ Automotiveඞ2012
2ඞhttps://photoawards.com/winner/zoom.php?eid=8-50338-12ඞFulvio Bonavia, ItalyඞPirelli Winterඞ3rd PlaceඞAdvertisingඞ Automotiveඞ2012
3ඞhttps://photoawards.com/winner/zoom.php?eid=8-49710-12ඞGiordano Cipriani, ItalyඞTears of lightඞ1st PlaceඞAdvertisingඞ Beautyඞ2012
4ඞhttps://photoawards.com/winner/zoom.php?eid=8-47211-12ඞJonathan Knowles, United KingdomඞFlaviana ඞ2nd PlaceඞAdvertisingඞ Beautyඞ2012
5ඞhttps://photoawards.com/winner/zoom.php?eid=8-47448-12ඞMarie-Louise Cadosch, SwitzerlandඞIron Maidenඞ3rd PlaceඞAdvertisingඞ Beautyඞ2012
6ඞhttps://photoawards.com/winner/zoom.php?eid=8-43280-12ඞNadav Kander, United KingdomඞSmoke Freeඞ1st PlaceඞAdvertisingඞ Conceptualඞ2012
7ඞhttps://photoawards.com/winner/zoom.php?eid=8-52354-12ඞPeter Rad, United StatesඞBAM 150th Anniversary Campaignඞ2nd PlaceඞAdvertisingඞ Conceptualඞ2012
8ඞhttps://photoawards.com/winner/zoom.php?eid=8-42378-12ඞSharad Haksar, IndiaඞDivine Ironyඞ3rd PlaceඞAdvertisingඞ Conceptualඞ2012
9ඞhttps://photoawards.com/winner/zoom.php?eid=8-42549-12ඞAlex Telfer, United KingdomඞScott's Last Expeditionඞ1st PlaceඞAdvertisingඞ Fashionඞ2012
10ඞhttps://photoawards.com/winner/zoom.php?eid=8-41571-12ඞXanti Rodriguez, SpainඞCRYSTAL FLOWERSඞ2nd PlaceඞAdvertisingඞ Fashionඞ2012
11ඞhttps://photoawards.com/winner/zoom.php?eid=8-40672-12ඞZena Holloway, United KingdomඞBreatheඞ3rd PlaceඞAdvertisingඞ Fashionඞ2012
12ඞhttps://photoawards.com/winner/zoom.php?eid=8-47490-12ඞNando Esteva, Spainඞcarpentry seafoodඞ1st PlaceඞAdvertisingඞ Foodඞ2012
13ඞhttps://photoawards.com/winner/zoom.php?eid=8-48760-12ඞSteve Nozicka, United StatesඞSquared Foodඞ2nd PlaceඞAdvertisingඞ Foodඞ2012
14ඞhttps://photoawards.com/winner/zoom.php?eid=8-48737-12ඞErin Gleeson, United StatesඞThe Forest Feastඞ3rd PlaceඞAdvertisingඞ Foodඞ2012
15ඞhttps://photoawards.com/winner/zoom.php?eid=8-44067-12ඞJérôme Brunet, United StatesඞRoger Waters The Wallඞ1st PlaceඞAdvertisingඞ Musicඞ2012
16ඞhttps://photoawards.com/winner/zoom.php?eid=8-45185-12ඞlukas maximilian hueller, AustriaඞTIGER LILLIES FREAK SHOWඞ2nd PlaceඞAdvertisingඞ Musicඞ2012
17ඞhttps://photoawards.com/winner/zoom.php?eid=8-48260-12ඞVincent Dixon, United StatesඞdCS Save the Musicඞ3rd PlaceඞAdvertisingඞ Musicඞ2012
18ඞhttps://photoawards.com/winner/zoom.php?eid=8-43280-12ඞNadav Kander, United KingdomඞSmoke Freeඞ1st PlaceඞAdvertisingඞ Otherඞ2012
19ඞhttps://photoawards.com/winner/zoom.php?eid=8-41867-12ඞandreas smetana, AustraliaඞWork Coverඞ2nd PlaceඞAdvertisingඞ Otherඞ2012
20ඞhttps://photoawards.com/winner/zoom.php?eid=8-50627-12ඞSharad Haksar, IndiaඞDivine Ironyඞ3rd PlaceඞAdvertisingඞ Otherඞ2012
21ඞhttps://photoawards.com/winner/zoom.php?eid=8-42427-12ඞJames Day, United KingdomඞHotwheelsඞ1st PlaceඞAdvertisingඞ Productඞ2012
22ඞhttps://photoawards.com/winner/zoom.php?eid=8-45639-12ඞDilip Vishwamitra Bhatia, IndiaඞRose 01ඞ2nd PlaceඞAdvertisingඞ Productඞ2012
23ඞhttps://photoawards.com/winner/zoom.php?eid=8-41088-12ඞJing Quek, SingaporeඞEnergie: Nick Kicksඞ3rd PlaceඞAdvertisingඞ Productඞ2012
24ඞhttps://photoawards.com/winner/zoom.php?eid=8-47909-12ඞRoberto Alegria, SpainඞSkateboarding on Dustඞ1st PlaceඞAdvertisingඞ Self-Promotionඞ2012
25ඞhttps://photoawards.com/winner/zoom.php?eid=8-45850-12ඞwalter luttenberger, Austriaඞbangkok floodingඞ2nd PlaceඞAdvertisingඞ Self-Promotionඞ2012
26ඞhttps://photoawards.com/winner/zoom.php?eid=8-49198-12ඞKevin Arnold, CanadaඞKenya Wildlife Service - Tsavo Westඞ3rd PlaceඞAdvertisingඞ Self-Promotionඞ2012
27ඞhttps://photoawards.com/winner/zoom.php?eid=8-45642-12ඞdilip Vishwamitra Bhatia, IndiaඞSea Link ඞ1st PlaceඞArchitectureඞ Bridgesඞ2012
28ඞhttps://photoawards.com/winner/zoom.php?eid=8-51007-12ඞAneesh Bhasin, IndiaඞSea Linkඞ2nd PlaceඞArchitectureඞ Bridgesඞ2012
29ඞhttps://photoawards.com/winner/zoom.php?eid=8-48391-12ඞJoshua Dool, CanadaඞPeace Bridgeඞ3rd PlaceඞArchitectureඞ Bridgesඞ2012
30ඞhttps://photoawards.com/winner/zoom.php?eid=8-48913-12ඞGabriele Croppi, ItalyඞMethaphysics of the Urban Landscapeඞ1st PlaceඞArchitectureඞ Buildingsඞ2012
31ඞhttps://photoawards.com/winner/zoom.php?eid=8-51506-12ඞJoel Tjintjelaar, NetherlandsඞThe Shape Of Lightඞ2nd PlaceඞArchitectureඞ Buildingsඞ2012
32ඞhttps://photoawards.com/winner/zoom.php?eid=8-42469-12ඞJohn A. Chakeres, United StatesඞSturctureඞ3rd PlaceඞArchitectureඞ Buildingsඞ2012
33ඞhttps://photoawards.com/winner/zoom.php?eid=8-41778-12ඞPeter Andrew Lusztyk, CanadaඞHighway Interchangesඞ1st PlaceඞArchitectureඞ Cityscapesඞ2012
34ඞhttps://photoawards.com/winner/zoom.php?eid=8-41701-12ඞWen-Han Chang, TaiwanඞSubspaceඞ2nd PlaceඞArchitectureඞ Cityscapesඞ2012
35ඞhttps://photoawards.com/winner/zoom.php?eid=8-39962-12ඞMichael Hitoshi, Japanඞteilightඞ3rd PlaceඞArchitectureඞ Cityscapesඞ2012
36ඞhttps://photoawards.com/winner/zoom.php?eid=8-48972-12ඞQuintin Lake, United KingdomඞPripyat: 21 Years After Chernobylඞ1st PlaceඞArchitectureඞ Historicඞ2012
37ඞhttps://photoawards.com/winner/zoom.php?eid=8-46275-12ඞEva Velledits, HungaryඞSymphony of Destruction – Ghost Townsඞ2nd PlaceඞArchitectureඞ Historicඞ2012
38ඞhttps://photoawards.com/winner/zoom.php?eid=8-47076-12ඞLee Saloutos, United StatesඞAbandoned Prisonsඞ3rd PlaceඞArchitectureඞ Historicඞ2012
39ඞhttps://photoawards.com/winner/zoom.php?eid=8-46483-12ඞLuca Casonato, ItalyඞCollidersඞ1st PlaceඞArchitectureඞ Industrialඞ2012
40ඞhttps://photoawards.com/winner/zoom.php?eid=8-51027-12ඞChang Ssu-Yung, TaiwanඞOld Taichung Brewery IIඞ2nd PlaceඞArchitectureඞ Industrialඞ2012
41ඞhttps://photoawards.com/winner/zoom.php?eid=8-41468-12ඞClaudio Bader, SwitzerlandඞPOWERPLANTඞ3rd PlaceඞArchitectureඞ Industrialඞ2012
42ඞhttps://photoawards.com/winner/zoom.php?eid=8-40720-12ඞAyano Hisa, United StatesඞSchools in Tohokuඞ1st PlaceඞArchitectureඞ Interiorsඞ2012
43ඞhttps://photoawards.com/winner/zoom.php?eid=8-40992-12ඞJavier Sánchez Martínez, SpainඞSTAIRSඞ2nd PlaceඞArchitectureඞ Interiorsඞ2012
